english,german
Gutach: Increased safety for pedestrians,Gutach: Noch mehr Sicherheit für Fußgänger
"They are not even 100 metres apart: On Tuesday, the new B 33 pedestrian lights in Dorfparkplatz in Gutach became operational - within view of the existing Town Hall traffic lights.",Sie stehen keine 100 Meter voneinander entfernt: Am Dienstag ist in Gutach die neue B 33-Fußgängerampel am Dorfparkplatz in Betrieb genommen worden - in Sichtweite der älteren Rathausampel.
Two sets of lights so close to one another: intentional or just a silly error?,Zwei Anlagen so nah beieinander: Absicht oder Schildbürgerstreich?
"Yesterday, Gutacht's Mayor gave a clear answer to this question.",Diese Frage hat Gutachs Bürgermeister gestern klar beantwortet.
"""At the time, the Town Hall traffic lights were installed because this was a school route,"" explained Eckert yesterday.","""Die Rathausampel ist damals installiert worden, weil diese den Schulweg sichert"", erläuterte Eckert gestern."
"The Kluser lights protect cyclists, as well as those travelling by bus and the residents of Bergle.",Die Kluser-Ampel sichere sowohl Radfahrer als auch Busfahrgäste und die Bergle-Bewohner.
"The system, which officially became operational yesterday, is of importance to the Sulzbachweg/Kirchstrasse junction.",Die gestern offiziell in Betrieb genommene Anlage sei wichtig für den Kreuzungsbereich Sulzbachweg/Kirchstraße.
"We have the museum, two churches, the spa gardens, the bus stop, a doctor's practice and a bank, not to mention the traffic from the 'Grub' residential area.","Wir haben das Museum, zwei Kirchen, Kurpark, die Bushaltestelle, einen Arzt und eine Bank sowie den Verkehrsfluss aus dem Wohngebiet ›Grub‹."
"""At times of high road and pedestrian traffic, an additional set of lights were required to ensure safety,"" said Eckert.","""Bei dem hohen Verkehrs- und Fußgängeraufkommen musste zu deren Sicherheit eine weitere Ampel her"", so Eckert."
This was also confirmed by Peter Arnold from the Offenburg District Office.,Dies bestätigt auch Peter Arnold vom Landratsamt Offenburg.
"""According to current measurements, around 12,000 vehicles travel through the town of Gutach on the B33 on a daily basis, of which heavy goods traffic accounts for around ten per cent,"" emphasised Arnold.","""Laut aktuellen Messungen durchfahren auf der B 33 täglich etwa 12 000 Fahrzeuge die Gemeinde Gutach, davon sind etwa zehn Prozent Schwerlastverkehr"", betont Arnold."
"Therefore the construction of an additional set of lights was more than necessary: ""Here safety comes first, it's that simple,"" said Arnold.","Daher sei der Bau einer weiteren Ampel mehr als notwendig: ""Sicherheit geht hier einfach vor"", so Arnold."
"A total of four road safety inspections were carried out and a roundabout was also considered, however, this idea was rejected on account of the narrowness of the Sulzbachweg/Kirchstrasse junctions.","Insgesamt seien vier Verkehrsschauen durchgeführt worden, auch ein Kreisverkehr wurde angedacht, allerdings wegen der Enge in dem Kreuzungsbereich Sulzbachweg/Kirchstraße wieder verworfen."
"According to Arnold, every possible test was carried out prior to the selection of the location for the traffic light posts: ""Using a goods vehicle loaded with particularly long tree trunks, we also tested whether such vehicles could access the B 33 from the Sulzbachweg without knocking over the traffic light posts"".","Es wurde laut Arnold bei der Standortwahl der Ampelmasten zuvor alles ausgetestet: ""Mittels eines extra für uns mit besonders langen Holzstämmen beladener Transporter haben wir ausgestestet, ob diese Fahrzeuge aus dem Sulzbachweg auf die B 33 ausfahren können, ohne den Ampelmasten umzuknicken""."
"The traffic light system itself, which cost around EUR 15,000, is the ""most modern system that is currently available on the market,"" explained Arnold.","Die rund 15 000 Euro teure Ampelanlage selbst ist das ""modernste, was es derzeit auf dem Markt gibt"", erläuterte Arnold."
"The system is fitted with coloured LEDs, which are bright enough that drivers can easily see the lights, even when the sun is low in the sky.","Die Anlage ist mit farbigen LEDs ausgestattet, die so kräftig leuchten, dass die Lichter von den Autofahrern beispielsweise auch bei tiefstehender Sonne gut zu erkennen sind."
"And they are also energy-efficient: The older light systems consume around 100 Watts, with the new ones consuming just eight.","Und sparsam ist sie auch: Die älteren Lichtanlagen verbrauchen etwa 100 Watt, die neuen gerade mal acht Watt."
There are three sets of lights per direction of travel.,Pro Fahrtrichtung gibt es drei Lichtanlagen.
Arnold explained the technology used by the new system: It is fitted with two radar sensors.,Arnold erklärte die Technik der neuen Anlage: Diese ist mit zwei Radarsensoren ausgestattet.
"If the pedestrian presses the button at the traffic lights, the top radar sensor checks the traffic status.","Drückt der Fußgänger den Ampelknopf, testet der obere Radarsensor die Verkehrslage."
"If the street is clear, the pedestrian obtains a green light immediately, if not, there is a delay of around 15 seconds.","Ist die Straße frei, kommt unmittelbar Grün für den Fußgänger, wenn nicht, dauert es etwa 15 Sekunden."
An additional radar sensor checks whether the green phase for the pedestrian can be ended.,"Ein weiteres Radarsensor prüft, ob die Grünphase für den Fußgänger beendet werden kann."
